Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/MegaDrive/Manuals/2020 Super Baseball.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2F2020%20Super%20Baseball.pdf,3184977,5d7fd59d2e37ea81fbbcdc00f49b5fc9,,,2020 Super Baseball.pdf
docs/MegaDrive/Manuals/3 Ninjas Kick Back.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2F3%20Ninjas%20Kick%20Back.pdf,3275240,8ad0a043cfeb061e4880c4b951ea2feb,,,3 Ninjas Kick Back.pdf
docs/MegaDrive/Manuals/688 Attack Sub.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2F688%20Attack%20Sub.pdf,5731782,a93a0b2fd3cd248eeea63a23c3ee2afd,,,688 Attack Sub.pdf
docs/MegaDrive/Manuals/AAAHH!!! Real Monsters.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAAAHH%21%21%21%20Real%20Monsters.pdf,3448256,0ca525bc646dc722d7365566eb48b201,,,AAAHH!!! Real Monsters.pdf
docs/MegaDrive/Manuals/ATP Tour Championship Tennis.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FATP%20Tour%20Championship%20Tennis.pdf,1164288,16b3fb012502d1c17804ee061d6c92db,,,ATP Tour Championship Tennis.pdf
docs/MegaDrive/Manuals/AWS Pro Moves Soccer.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAWS%20Pro%20Moves%20Soccer.pdf,2939294,caf1f9e074f4098646661fc341a77453,,,AWS Pro Moves Soccer.pdf
docs/MegaDrive/Manuals/Action 52.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAction%2052.pdf,1487520,fd583f926d353ca6f122e9967bada1d9,,,Action 52.pdf
"docs/MegaDrive/Manuals/Addams Family, The.pdf",https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAddams%20Family%2C%20The.pdf,3453287,87145b856ab6b265bd228295371d8fb4,,,"Addams Family, The.pdf"
"docs/MegaDrive/Manuals/Adventures of Batman & Robin, The.pdf",https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAdventures%20of%20Batman%20%26%20Robin%2C%20The.pdf,1077719,9dab78812205fca42fa11b4a0bc5a6b9,,,"Adventures of Batman & Robin, The.pdf"
"docs/MegaDrive/Manuals/Adventures of Mighty Max, The.pdf",https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAdventures%20of%20Mighty%20Max%2C%20The.pdf,4049903,987ced406f3e84202c78c765fdea1e7e,,,"Adventures of Mighty Max, The.pdf"
"docs/MegaDrive/Manuals/Adventures of Rocky and Bullwinkle and Friends, The.pdf",https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAdventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends%2C%20The.pdf,1692161,e2702242456b974322c61f710528ceaa,,,"Adventures of Rocky and Bullwinkle and Friends, The.pdf"
docs/MegaDrive/Manuals/Aero the Acro-Bat 2.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAero%20the%20Acro-Bat%202.pdf,2831669,9cab567217c74815a2799602d8df2590,,,Aero the Acro-Bat 2.pdf
docs/MegaDrive/Manuals/Aero the Acro-Bat.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAero%20the%20Acro-Bat.pdf,3451021,96389759dfa717285d6eb6805b92f581,,,Aero the Acro-Bat.pdf
docs/MegaDrive/Manuals/Aerobiz Supersonic.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAerobiz%20Supersonic.pdf,1739899,fe92abdce97351f76e8f7672b6f63ee3,,,Aerobiz Supersonic.pdf
docs/MegaDrive/Manuals/Aerobiz.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAerobiz.pdf,4310362,0d92796a8cabb16d1d8a34e931d4a926,,,Aerobiz.pdf
docs/MegaDrive/Manuals/After Burner II.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAfter%20Burner%20II.pdf,1030227,144559d5de8f051bb2a87f898a284443,,,After Burner II.pdf
docs/MegaDrive/Manuals/Air Buster.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAir%20Buster.pdf,2324937,2da4180d9fceff69d150f2161cd28468,,,Air Buster.pdf
docs/MegaDrive/Manuals/Air Diver.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAir%20Diver.pdf,1763980,f983818efc8b0e30963832d10d2c1661,,,Air Diver.pdf
docs/MegaDrive/Manuals/Aladdin.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAladdin.pdf,2372908,7c6e6a3ccf9078a2c59de0a960a18441,,,Aladdin.pdf
docs/MegaDrive/Manuals/Alex Kidd in the Enchanted Castle.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAlex%20Kidd%20in%20the%20Enchanted%20Castle.pdf,4313126,309ecd343b3e81247f0f86d45fc29a43,,,Alex Kidd in the Enchanted Castle.pdf
docs/MegaDrive/Manuals/Alien 3.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAlien%203.pdf,2552326,4219a6f110a9186ca95e3586a1f69424,,,Alien 3.pdf
docs/MegaDrive/Manuals/Alien Soldier.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAlien%20Soldier.pdf,4188613,2b72aba4dcddc36957e9985385216cf8,,,Alien Soldier.pdf
docs/MegaDrive/Manuals/Alien Storm.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAlien%20Storm.pdf,3439122,bdec2566cec8a19a37f65679760ba778,,,Alien Storm.pdf
docs/MegaDrive/Manuals/Alisia Dragoon.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAlisia%20Dragoon.pdf,3940067,0f1fd77acf03b51ca8be4006fa652c28,,,Alisia Dragoon.pdf
docs/MegaDrive/Manuals/Altered Beast.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAltered%20Beast.pdf,5072004,242d7025eab2bf6a1134de777987a848,,,Altered Beast.pdf
docs/MegaDrive/Manuals/Amazing Tennis.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAmazing%20Tennis.pdf,1885899,8fd50a8422c6a4e651fed47fdf08d963,,,Amazing Tennis.pdf
docs/MegaDrive/Manuals/American Gladiators.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAmerican%20Gladiators.pdf,3561198,808a9aeceb020431dcf40aecf4e67670,,,American Gladiators.pdf
docs/MegaDrive/Manuals/Andre Agassi Tennis.pdf,https://archive.org/download/mister-manuals/1989_Sega%20Genesis.zip/1989_Sega%20Genesis%2FAndre%20Agassi%20Tennis.pdf,3663664,a3304927ee81c7cf4978aa83bdca1963,,,Andre Agassi Tennis.pdf
